circuit_key,driver_number,overtake_avg
70,1,0.0
70,4,0.0
70,5,0.0
70,6,0.0
70,10,0.0
70,12,0.0
70,14,0.0
70,16,0.0
70,18,0.0
70,22,0.0
70,23,0.0
70,27,0.0
70,30,0.0
70,31,0.0
70,43,0.0
70,44,0.0
70,55,0.0
70,63,0.0
70,81,0.0
70,87,0.0
150,1,0.0
150,4,0.0
150,5,0.0
150,6,0.0
150,10,0.0
150,12,0.0
150,14,0.0
150,16,0.0
150,18,0.0
150,22,0.0
150,23,0.0
150,27,0.0
150,30,0.0
150,31,0.0
150,43,0.0
150,44,0.0
150,55,0.0
150,63,0.0
150,81,0.0
150,87,0.0
