date,session_key,driver_number,gap_to_leader,meeting_key,interval
2025-10-05T12:03:57.599000+00:00,9896,1,1.002,1270,1.002
2025-10-05T12:03:58.011000+00:00,9896,4,1.418,1270,0.416
2025-10-05T12:03:58.433000+00:00,9896,81,1.818,1270,0.4
2025-10-05T12:03:58.683000+00:00,9896,16,2.081,1270,0.263
2025-10-05T12:03:58.777000+00:00,9896,10,6.597,1270,1.706
2025-10-05T12:03:59.120000+00:00,9896,12,2.523,1270,0.442
2025-10-05T12:03:59.261000+00:00,9896,23,7.089,1270,0.492
2025-10-05T12:03:59.511000+00:00,9896,44,2.908,1270,0.385
2025-10-05T12:03:59.652000+00:00,9896,14,3.077,1270,0.169
2025-10-05T12:03:59.933000+00:00,9896,6,3.347,1270,0.27
2025-10-05T12:04:00.433000+00:00,9896,87,3.852,1270,0.505
2025-10-05T12:04:00.667000+00:00,9896,27,4.081,1270,0.229
2025-10-05T12:04:00.917000+00:00,9896,30,4.328,1270,0.247
2025-10-05T12:04:01.167000+00:00,9896,1,1.023,1270,1.023
2025-10-05T12:04:01.230000+00:00,9896,43,4.629,1270,0.301
2025-10-05T12:04:01.355000+00:00,9896,22,4.745,1270,0.116
2025-10-05T12:04:01.589000+00:00,9896,4,1.448,1270,0.425
2025-10-05T12:04:01.605000+00:00,9896,18,4.964,1270,0.219
2025-10-05T12:04:01.620000+00:00,9896,5,4.992,1270,0.028
2025-10-05T12:04:01.964000+00:00,9896,81,1.822,1270,0.374
2025-10-05T12:04:01.964000+00:00,9896,31,5.405,1270,0.413
2025-10-05T12:04:02.183000+00:00,9896,16,2.052,1270,0.23
2025-10-05T12:04:02.292000+00:00,9896,55,5.721,1270,0.316
2025-10-05T12:04:02.761000+00:00,9896,12,2.627,1270,0.575
2025-10-05T12:04:03.089000+00:00,9896,44,2.954,1270,0.327
2025-10-05T12:04:03.214000+00:00,9896,14,3.081,1270,0.127
2025-10-05T12:04:03.370000+00:00,9896,10,6.804,1270,1.083
2025-10-05T12:04:03.480000+00:00,9896,6,3.362,1270,0.281
2025-10-05T12:04:04.042000+00:00,9896,23,7.473,1270,0.669
2025-10-05T12:04:04.074000+00:00,9896,87,3.931,1270,0.569
2025-10-05T12:04:04.324000+00:00,9896,27,4.191,1270,0.26
2025-10-05T12:04:04.574000+00:00,9896,30,4.464,1270,0.273
2025-10-05T12:04:04.870000+00:00,9896,43,4.76,1270,0.296
2025-10-05T12:04:05.027000+00:00,9896,22,4.868,1270,0.108
2025-10-05T12:04:05.120000+00:00,9896,18,4.992,1270,0.124
2025-10-05T12:04:05.214000+00:00,9896,1,1.007,1270,1.007
2025-10-05T12:04:05.230000+00:00,9896,5,5.092,1270,0.1
2025-10-05T12:04:05.558000+00:00,9896,31,5.437,1270,0.345
2025-10-05T12:04:05.652000+00:00,9896,4,1.411,1270,0.404
2025-10-05T12:04:05.964000+00:00,9896,55,5.812,1270,0.375
2025-10-05T12:04:05.998000+00:00,9896,81,1.778,1270,0.367
