meeting_key,session_key,driver_number,date,recording_url
1270,9896,1,2025-10-05T12:20:45.220000+00:00,https://livetiming.formula1.com/static/2025/2025-10-05_Singapore_Grand_Prix/2025-10-05_Race/TeamRadio/MAXVER01_1_20251005_202019.mp3
1270,9896,1,2025-10-05T12:39:39.833000+00:00,https://livetiming.formula1.com/static/2025/2025-10-05_Singapore_Grand_Prix/2025-10-05_Race/TeamRadio/MAXVER01_1_20251005_203905.mp3
1270,9896,1,2025-10-05T13:02:40.255000+00:00,https://livetiming.formula1.com/static/2025/2025-10-05_Singapore_Grand_Prix/2025-10-05_Race/TeamRadio/MAXVER01_1_20251005_210225.mp3
1270,9896,1,2025-10-05T13:07:47.290000+00:00,https://livetiming.formula1.com/static/2025/2025-10-05_Singapore_Grand_Prix/2025-10-05_Race/TeamRadio/MAXVER01_1_20251005_210709.mp3
